,en,es,fr,id,jp,th,vi,zh,tr
OvertimeGuide,"Daily overtime hours are calculated until 00:00 of the next day. If there is no record before 00:00, it will be deemed as no off-duty record","Las horas de tiempo extra diario se calculan hasta las 00:00 del día siguiente. Si no hay registro antes de las 00:00, se considerará como un registro fuera de servicio","Les heures supplémentaires quotidiennes sont calculées jusqu'à 00h00 du lendemain. S'il n'y a pas d'enregistrement avant 00:00, il sera considéré comme aucun enregistrement en congé","Jam lembur harian dihitung sampai pukul 00:00 keesokan harinya. Jika tidak ada catatan sebelum pukul 00:00, maka dianggap tidak ada catatan di luar tugas",1日の残業時間は翌日の00:00まで計算されます。 0時までに記録がない場合はy退勤記録なしとみなします,ชั่วโมงการทำงานล่วงเวลาทุกวันจะถูกคำนวณจนถึง 00:00 ของวันถัดไป หากไม่มีการบันทึกก่อน 00:00 จะถือว่าเป็นบันทึกที่ไม่ปฏิบัติหน้าที่,Số giờ tăng ca hàng ngày được tính đến 00:00 ngày hôm sau. Nếu không có bản ghi trước 00:00 thì coi như không có hồ sơ  tăng ca,日加班時間計算至隔日 00:00 為止。若 00:00 前無紀錄，視為無下班紀錄,"Günlük fazla mesai saatleri ertesi günün 00:00'ına kadar hesaplanır. 00:00'dan önce kayıt yoksa, mesai dışı kayıt sayılmaz."
OvertimeMinimum,Minimum overtime duration (minutes):,Duración mínima de tiempo extra (minutos):,Durée minimale des heures supplémentaires (minutes):,Durasi waktu lembur minimum (menit):,残業時間は少なくとも (分) でなければなりません:,ระยะเวลาการทำงานล่วงเวลาขั้นต่ำ (นาที):,Thời gian tăng ca tối thiểu (phút):,最短加班時間 (分)：,Asgari fazla mesai süresi (dakika):
OvertimeStartTime,Overwork time starting time:,Tiempo de exceso de trabajo Tiempo de inicio:,Heure de début du travail:,Waktu mulai kerja lembur:,時間外労働の開始時刻：,เวลาเริ่มต้นทำงานมากเกินไป:,Thời gian bắt đầu tăng ca:,加班起算時間：,Fazla çalışma süresinin başlangıç ​​saati:
OvertimeTitle,Work Overtime,Trabajar horas extra,Faire des heures supplémentaires,Kerja lembur,残業する,ทำงานเกินเวลา,Làm tăng ca,加班,Fazla Mesai
PM,PM,PM,PM,PM,PM,น.,CHIỀU,下午,ÖĞLEDEN SONRA
POST,POST,CORREO,POSTE,POST,POST,โพสต์,SAU,POST,POSTALAMAK
PageDisplay,Page Display,Visualización de la página,Affichage de la page,Tampilan Halaman,ページディスプレイ,หน้าจอ,Hiển thị trang,頁面顯示,Sayfa Görüntüleme
PageLayout,Page Layout,Diseño de página,Mise en page,Tata letak Halaman,ページレイアウト,เค้าโครงหน้า,Bố cục trang,頁面排版,Sayfa Düzeni
PageTitleAttendanceBoardSettings,Attendance Board Settings,Configuración de la junta de asistencia,Paramètres du conseil d'assistance,Pengaturan Papan Kehadiran,出席ボードの設定,การตั้งค่าคณะกรรมการเข้าร่วม,Cài đặt bảng chấm công,點名看板設定,Katılım Kurulu Ayarları
PageTitleOccupancyBoardSettings,Occupancy Board Settings,Configuración de la junta de ocupación,Paramètres du conseil d'occupation,Pengaturan Papan Okupansi,占有ボードの設定,การตั้งค่าคณะกรรมการ,Cài đặt bảng chiếm dụng,容留看板設定,İşgal Kurulu Ayarları
PartialName,Partial Name,Nombre parcial,Nom partiel,Nama Parsial,名前の一部,ชื่อบางส่วน,Tên một phần,部分姓名,Kısmi İsim
Password,Password,Contraseña,Mot de passe,Kata sandi,パスワード,รหัสผ่าน,Mật khẩu,密碼,Şifre
PasswordIsDifferent,Passwords do not match,Las contraseñas no coinciden,Les mots de passe ne correspondent pas,Kata sandi tidak cocok,パスワードが一致していません,รหัสผ่านไม่ตรงกัน,Mật khẩu không phù hợp,密碼不匹配,Şifreler eşleşmiyor
Permission,Permission,Permiso,Autorisation,Izin,権限,การอนุญาต,Cho phép,權限,İzin
Person,Person,Persona,Personne,Orang,パーソン,บุคคล,Người,人員,Kişi
PersonDailyAttendanceReport,Daily Report,Reporte diario,Rapport journalier,Laporan harian,日報,รายงานประจำวัน,Báo cáo hàng ngày,日出勤,Günlük Rapor
PersonGroup,Person Group,Grupo de personas,Groupe de personnes,Kelompok Orang,パーソングループ,กลุ่มบุคคล,Nhóm người,人員(群組),Kişi Grubu
PersonId,Person ID,ID de persona,ID de personne,ID Orang,パーソンID,รหัสบุคคล,ID người,人員編號,Kişi Kimliği
PersonInfo,Person Info,Información de la persona,Informations sur la personne,Info Orang,パーソン情報,ข้อมูลบุคคล,Thông tin người,人員資訊,Kişi Bilgileri
PersonInfoFile,Person Info File,Archivo de información de la persona,Fichier d'informations sur la personne,File Info Orang,パーソン情報ファイル,ไฟล์ข้อมูลบุคคล,Tệp thông tin người,人員資料,Kişi Bilgi Dosyası
PersonInformationSource,Person Information Source,Fuente de información de la persona,Source d'informations sur la personne,Sumber Informasi Orang,パーソン情報ソース,แหล่งข้อมูลบุคคล,Nguồn thông tin cá nhân,人員資訊來源,Kişi Bilgi Kaynağı
PersonList,Person List,Lista de personas,Liste de personnes,Daftar Orang,パーソンリスト,รายชื่อบุคคล,Danh sách người,人員列表,Kişi Listesi
PersonMonthlyAttendanceReport,Monthly Report,Reporte mensual,Rapport mensuel,Laporan bulanan,月例報告,รายงานประจำเดือน,Báo cáo hàng tháng,月出勤,Aylık Rapor
PersonName,Person Name,Nombre de la persona,Nom de la personne,Nama Orang,パーソン名,ชื่อบุคคล,Tên người,人員姓名,Kişi Adı
PersonOfAdmission,Current On-site Person,Persona actual en el sitio,Personne actuelle sur place,Orang di Tempat Saat Ini,現在の現場担当者,บุคคลในสถานที่ปัจจุบัน,Người tại chỗ hiện tại,場內人員,Mevcut Saha Personeli
PersonReport,Person Report,Informe de personal,Rapport de la personne,Laporan Orang,パーソン,รายงานบุคคล,Báo cáo người,人員報表,Kişi Raporu
PersonalDisplay,Personal Display,Visualización personal,Affichage personnel,Tampilan Personal,パーソナル表示,การแสดงส่วนตัว,Màn hình cá nhân,人員顯示,Kişisel Gösterim
PersonnelInfo,Personnel Info,Información del personal,Informations sur le personnel,Informasi Personil,パーソン情報,ข้อมูลบุคลากร,Thông tin nhân sự,人員資訊,Personel Bilgileri
PersonsManagement,Person,Persona,Personne,Orang,パーソン,บุคคล,Người,人員,Kişi
PhoneNumber,Phone Number,Número de teléfono,Numéro de téléphone,Nomor telepon,電話番号,หมายเลขโทรศัพท์,Số điện thoại,電話號碼,Telefon Numarası
PleaseEnter,Please enter,Por favor ingrese,Veuillez entrer,Harap masuk,Please enter,โปรดป้อน,Vui lòng nhập,請輸入,Lütfen giriniz
PleaseEnterName,Please enter a name,Por favor ingrese un nombre,Veuillez saisir un nom,Silakan masukkan nama,名前を入力してください,กรุณากรอกชื่อ,Vui lòng nhập tên,請輸入人名,Lütfen bir isim girin
Port,Port,Puerto,Port,Port,ポート,ท่าเรือ,Cổng,埠,Liman
Previous,Previous,Anterior,Précédent,Sebelumnya,前,ก่อนหน้า,Trước,上一步,Öncesi
PriorityIsEthernet,( Wired Network Preferred),(Red Wired preferida),(Réseau câblé préféré),(Jaringan Kabel Lebih Diutamakan),(有線ネットワークが好ましい),(ต้องการเครือข่ายแบบใช้สาย),(Ưu tiên mạng có dây),(有線網路優先),(Kablolu Ağ Tercih Edilir)
QRcodeExpiredMsg,This QR code is invalid,Este código QR no es válido,Ce code QR n'est pas valide,Kode QR ini tidak valid,このQRコードは無効です,รหัส QR นี้ไม่ถูกต้อง,Mã QR này không hợp lệ,此 QR code 無效,Bu QR kodu geçersiz
QueryString,URL parameter,Parámetro de URL,Paramètre URL,Parameter URL,URL パラメータ,พารามิเตอร์ URL,Tham số URL,URL 參數,URL parametresi
RTP,RTP,RTP,RTP,RTP,RTP,RTP,RTP,RTP,RTP
RTSP,RTSP,RTSP,RTSP,RTSP,RTSP,RTSP,RTSP,RTSP,RTSP
ReTake,Re-Take,Volver a tomar,Reprendre,Ambil ulang,再テイク,ถ่ายใหม่,Chụp lại,再擷取,Tekrar Al
ReasonDepiction,"Reason (required, less than 50 characters):","Razón (requerido, menos de 50 caracteres):","Raison (requise, moins de 50 caractères):","Alasan (wajib, kurang dari 50 karakter):",理由 (必須、50 文字未満):,เหตุผล (จำเป็นน้อยกว่า 50 อักขระ):,"Lý do (bắt buộc, dưới 50 ký tự):",原因 (必填，少於 50 字)：,"Neden (gerekli, 50 karakterden az):"
Reboot,Reboot,Reiniciar,Redémarrer,Reboot,再起動,รีบูต,Khởi động lại,重新開機,Yeniden Başlatma
Recurrent,Recurrent,Recurrente,Récurrent,Berulang,再発,กำเริบ,Định kỳ,重複性的,Tekrarlayan
Register,Register,Registro,Enregistrer,Daftar,登録,ลงทะเบียน,Đăng ký,註冊,Kayıt olmak
RegisterCompleted,Registration Completed,Registro completado,Inscription terminée,Pendaftaran Selesai,登録完了,การลงทะเบียนเสร็จสมบูรณ์,Đăng ký đã hoàn tất,註冊完成,Kayıt Tamamlandı
RegisterFaceBg,Register Face Background,Registrar fondo de cara,Enregistrer l'arrière-plan du visage,Daftar Latar Belakang Wajah,顔の背景を登録する,ลงทะเบียน พื้นหลังใบหน้า,Đăng ký nền khuôn mặt,註冊人員 背景圖,Kayıt Yüz Arkaplanı
RegisterFailed,Registration Failed,Registro fallido,Échec de l'enregistrement,Pendaftaran Gagal,登録失敗,การลงทะเบียนไม่สำเร็จ,Đăng ký không thành công,註冊失敗,Kayıt Başarısız
RegisterPhoto,Registered photo,Foto registrada,Photo enregistrée,Foto terdaftar,登録写真,ภาพถ่ายที่ลงทะเบียน,Ảnh đã đăng ký,註冊時的照片,Kayıtlı fotoğraf
Relay1,Relay 1,Relé 1,Relais 1,Relai 1,リレー1,ถ่ายทอด 1,Lớp 1,繼電器 1,Röle 1
Relay2,Relay 2,Relé 2,Relais 2,Relai 2,リレー2,ถ่ายทอด 2,Lớp 2,繼電器 2,Röle 2
RemarkTemplate,Template,Plantilla,Modèle,Model,テンプレート,แม่แบบ,Bản mẫu,範本,Şablon
Remarks,Remarks,Observaciones,Remarques,Perkataan,備考,หมายเหตุ,Bình luận,備註,Notlar
RemarksTemplate1,The person should be an employee.,La persona debe ser un empleado.,La personne doit être un employé.,Orang tersebut haruslah seorang karyawan.,その人は社員でなければなりません。,บุคคลนั้นควรเป็นลูกจ้าง,Người đó phải là một nhân viên.,應為員工,Kişinin bir çalışan olması gerekir.
RemarksTemplate2,Handled by on-site person,Atendido por una persona en el sitio,Géré par une personne sur place,Ditangani oleh orang di lokasi,現場担当者が対応,จัดการโดยบุคคลในสถานที่,Được xử lý bởi người tại chỗ,已由現場人員處理,Yerinde bir kişi tarafından ele alınır
RemarksTemplateTitle1,Employee,Empleado,Employé,Karyawan,社員,พนักงาน,Người lao động,員工,Çalışan
RemarksTemplateTitle2,Handled,Manejado,Manipulé,Ditangani,取り扱い済み,จัดการแล้ว,Xử lý,已處理,Ele alındı
RememberMe,Remember Me,Acuérdate de mí,Souviens-toi de moi,Ingat saya,設定保存,จดจำฉัน,Nhớ tôi,記住帳號密碼,Beni Hatırla
RemoteTrigger,Remote Trigger,Disparador remoto,Déclencheur à distance,Trigger Jarak Jauh,リモート トリガー,ทริกเกอร์ระยะไกล,Kích hoạt từ xa,遠端觸發,Uzaktan Tetikleyici
Remove,Remove,Eliminar,Retirer,Hapus,削除,ลบ,Xóa,移除,Kaldırmak
RemoveROI,Remove,Eliminar,Retirer,Hapus,取り除く,ลบ,Xóa,移除,Kaldırmak
RepeatFieldKey,Field Key cannot be repeated!,¡La tecla de campo no se puede repetir!,La clé de champ ne peut pas être répétée!,Kunci Bidang tidak dapat diulang!,フィールドキー繰り返し不可,คีย์ฟิลด์ไม่สามารถทำซ้ำได้!,Khóa trường không thể lặp lại!,欄位代碼不能重複!,Alan Anahtarı tekrarlanamaz!
Reports,Reports,Informes,Rapports,Laporan,レポート,รายงาน,Báo cáo,報表,Raporlar
Reset,Reset,Restablecer,Réinitialiser,Reset,リセット,รีเซ็ต,Cài lại,重置,Sıfırla
ResetFailHint,"Please confirm whether the entered information is correct, or contact the administrator for assistance",Confirme si la información ingresada es correcta o comuníquese con el administrador para obtener ayuda.,Veuillez confirmer si les informations saisies sont correctes ou contacter l'administrateur pour obtenir de l'aide.,"Harap konfirmasi apakah informasi yang dimasukkan sudah benar, atau hubungi administrator untuk mendapatkan bantuan",入力した情報が正しいかどうかを確認するか、管理者に問い合わせてください。,โปรดยืนยันว่าข้อมูลที่ป้อนนั้นถูกต้องหรือติดต่อผู้ดูแลระบบเพื่อขอความช่วยเหลือ,Vui lòng xác nhận thông tin đã nhập có chính xác hoặc liên hệ với quản trị viên để được hỗ trợ,請確認輸入資料是否正確，或聯絡管理員協助,Lütfen girilen bilgilerin doğru olup olmadığını teyit edin veya yardım için yöneticiyle iletişime geçin
ResetSelected,Reset Selected,Restablecer seleccionado,Réinitialiser la sélection,Reset Seleksi,選択をリセット,รีเซ็ตที่เลือกแล้ว,Đặt lại đã chọn,重置選擇,Seçilenleri Sıfırla
ResetTime,Daily reset (hour),Restablecimiento diario (hora),Réinitialisation quotidienne (heure),Reset harian (jam),リセット時間,รีเซ็ตรายวัน (ชั่วโมง),Đặt lại hàng ngày (giờ),每日重置 (時),Günlük sıfırlama (saat)
RestartService,Restart Service,Reiniciar servicio,Redémarrer le service,Mulai Ulang Layanan,サービスの再起動,เริ่มบริการใหม่,Khởi động lại dịch vụ,重啟服務,Hizmeti Yeniden Başlat
RestoreDatabase,Restore Database,Restaurar base de datos,Restaurer la base de données,Pulihkan Database,リストアDB,กู้คืนฐานข้อมูล,Khôi phục cơ sở dữ liệu,還原資料庫,Veritabanını geri yükle
ResultType,Result Type,Tipo de resultado,Type de résultat,Jenis Hasil,タイプ,ประเภทผลลัพธ์,Loại kết quả,類別,Sonuç Türü
Return,Return,Devolver,Retour,Kembali,戻る,กลับ,Trở lại,返回,Geri dönmek
ReturnToAll,Return To All,Volver a todos,Retour à tous,Kembali Ke Semua,戻る,กลับไปทั้งหมด,Quay lại tất cả,返回全部,Tümüne Geri Dön
Rules,Access Rules,Reglas de acceso,Règles d'accès,Aturan Akses,アクセスルール,การเข้าถึงกฎ,Quy tắc truy cập,門禁規則數量,Erişim Kuralları
SMALL,Small (720p),Pequeño (720p),Petit (720p),Kecil (720p),小 (720p),เล็ก (720p),Nhỏ (720p),小 (720p),Küçük (720p)
SMTPBCC,BCC,BCC,BCC,SMK,BCC,BCC,BCC,密件副本,Gizli Bilgi Bankası
SMTPCC,CC,CC,CC,CC,コピー,ซีซี,CC,副本,CC
SMTPEnabledSecure,Enable SMTPS,Habilitar SMTPS,Activer SMTPS,Aktifkan SMTPS,SMTPSを有効にする,เปิดใช้งาน SMTPS,Kích hoạt SMTP,啟用 SMTPS,SMTPS'yi etkinleştir
SMTPMethod,SMTP Method,Método SMTP,Méthode SMTP,Metode SMTP,SMTPメソッド,วิธี SMTP,Phương thức SMTP,SMTP 方法,SMTP Yöntemi
SMTPSender,Sender,Remitente,Expéditeur,Pengirim,送信者,ผู้ส่ง,Người gửi,寄件者,Gönderen
SMTPSubject,Subject,Sujeto,Sujet,Subjek,主題,เรื่อง,Chủ thể,主旨,Ders
SMTPTo,To,A,À,Kepada,受信者,ถึง,Đến,收件者,İle
Sat,Sat,Sáb,Sam,Sab,土,นั่ง,Thứ Bảy,六,Doygunluk
Save,Save,Ahorrar,Sauvegarder,Simpan,保存,บันทึก,Lưu,儲存,Kaydetmek
SaveChanges,Save Changes,Guardar cambios,Sauvegarder les modifications,Simpan perubahan,保存,บันทึกการเปลี่ยนแปลง,Lưu thay đổi,儲存變更,Değişiklikleri Kaydet
ScanQRCodeBg,Scan QR Code Background,Escanear el fondo del código QR,Scanner l'arrière-plan du code QR,Pindai Latar Belakang Kode QR,QR コードの背景をスキャンします,สแกนพื้นหลังรหัส QR,Quét nền mã QR,掃描 QR Code 背景圖,QR Kod Arkaplanını Tara
Schedule,Schedule,Cronograma,Calendrier,Jadwal,スケジュール,กำหนดการ,Lịch trình,排程,Takvim
ScheduleInfo,Schedule Info,Información de programación,Planifier les informations,Info Jadwal,情報をスケジュールします,ข้อมูลกำหนดเวลา,Thông tin lịch trình,排程資訊,Program Bilgisi
ScheduleManagement,Schedules,Horario,Des horaires,Jadwal,スケジュール,ตารางเวลา,Lịch trình,排程,Programlar
ScheduleName,Schedule Name,Nombre de programación,Nom de planification,Nama Jadwal,名前をスケジュールします,ชื่อกำหนดเวลา,Tên lịch trình,排程名稱,Program Adı
ScheduleNonrecurrent,Nonrecurrent,No recurrente,Non récurrente,Tidak berulang,非再生,ไม่เกิดขึ้นอีก,Không lặp lại,非週期性,Tekrarlanmayan
ScheduleRecurrent,Recurrent,Recurrente,Récurrent,Berulang,再発,กำเริบ,Định kỳ,週期性,Tekrarlayan
ScheduleType,Schedule Type,Tipo de horario,Type de planification,Jenis Jadwal,スケジュールタイプ,ประเภทกำหนดเวลา,Loại lịch trình,排程類型,Program Türü
ScheduleUsed,Some schedules are currently in use.,Algunos horarios están actualmente en uso.,Certains horaires sont actuellement utilisés.,Beberapa jadwal sedang digunakan.,一部のスケジュールは現在使用中です。,กำหนดการบางรายการกำลังใช้งานอยู่,Một số lịch trình hiện đang được sử dụng.,有一些排程正在使用中,Bazı çizelgeler şu anda kullanımdadır.
Schedules,Schedules,Horario,Des horaires,Jadwal,スケジュール,ตารางเวลา,Lịch trình,排程,Programlar
Score,Score,Puntaje,Score,Skor,スコア,คะแนน,Điểm,分數,Gol
Search,Search,Buscar,Recherche,Cari,検索,ค้นหา,Tìm kiếm,搜尋,Aramak
Select,Select,Seleccionar,Sélectionner,Pilih,選択,เลือก,Lựa chọn,選擇,Seçme
SelectAll,Select all,Seleccionar todo,Tout sélectionner,Pilih Semua,すべて選択,เลือกทั้งหมด,Chọn tất cả,全選,Tümünü seç
SelectDatetimeRange,specify a date range,especificar un rango de fechas,Spécifiez une plage de dates,tentukan rentang tanggal,日付範囲を指定する,ระบุช่วงวันที่,Chỉ định phạm vi ngày,指定日期範圍,bir tarih aralığı belirtin
SelectGroupPerson,Select Person,Seleccionar Persona,Sélectionner la personne,Pilih Orang,パーソン選択,เลือกบุคคล,Chọn người,選擇群組人員,Kişi Seç
SelectPhoto,Select Photo,Seleccione Foto,Sélectionner la photo,Pilih Foto,選択,เลือกรูปภาพ,Chọn ảnh,選擇照片,Fotoğraf Seç
SelectRegisterPhoto,Select Registered Photo,Seleccione Foto registrada,Sélectionnez la photo enregistrée,Pilih Foto Terdaftar,写真選択,เลือกรูปภาพที่ลงทะเบียน,Chọn ảnh đã đăng ký,選擇註冊照片,Kayıtlı Fotoğrafı Seçin
SelectSchedule,Select Schedule,Seleccionar Horario,Sélectionner le calendrier,Pilih Jadwal,スケジュール,เลือกกำหนดการ,Chọn lịch trình,選擇排程,Programı Seçin
Selected,Selected,Seleccionado,Choisi,Terpilih,選択済み,ที่เลือก,Đã chọn,已選擇,Seçilmiş
SelectedWeeklySchedule,Weekly Schedule,Programación semanal,Horaire hebdomadaire,Jadwal mingguan,スケジュール,ตารางรายสัปดาห์,Bản kế hoạch hằng tuần,固定週間排程,Haftalık Program
SelfCheckin,Visitor Registration,Registro de visitantes,Inscription des visiteurs,Pendaftaran Pengunjung,来場者登録,การลงทะเบียนผู้เยี่ยมชม,Đăng ký khách truy cập,自助報到,Ziyaretçi Kaydı
SelfCheckinBoardSettings,Visitor Registration Board Settings,Configuración del tablero de registro de visitantes,Paramètres du tableau d'enregistrement des visiteurs,Pengaturan Papan Registrasi Pengunjung,来場者登録ボードの設定,การตั้งค่าคณะกรรมการลงทะเบียนผู้เยี่ยมชม,Cài đặt bảng đăng ký khách truy cập,自助報到看板設定,Ziyaretçi Kayıt Panosu Ayarları
SendMail,E-Mail Notification,Notificación de correo electrónico,Notification par e-mail,Notifikasi Email,Email通知,การแจ้งเตือนทางอีเมล,Thông báo email,電子郵件通知,E-posta Bildirimi
SepcifiedHolidays,Designated Holidays,Vacaciones designadas,Vacances désignées,Hari Libur yang Ditunjuk,指定休日,วันหยุดที่กำหนด,Ngày lễ được chỉ định,指定假日,Belirlenmiş Tatiller
SepcifiedNonHolidays,Designated Non-Holidays,No holides designados,Non-Holidays désigné,Bukan Hari Libur yang Ditunjuk,振替出勤,ไม่ใช่วันหยุดที่ได้รับมอบหมาย,Những ngày không nghỉ lễ được chỉ định,指定非假日,Belirlenen Tatil Olmayan Günler
Seq,#,#,#,#,＃,#,#,#,#
SettingName,Setting Name,Nombre de configuración,Nom de réglage,Nama Pengaturan,設定名,ชื่อการตั้งค่า,Tên cài đặt,設定名稱,Ayar Adı
Setup_Mode,Setup Mode,Modo de configuración,Mode de configuration,Mode Pengaturan,設定モード,โหมดการตั้งค่า,Chế độ cài đặt,系統設定模式,Kurulum Modu
Show,Show,Espectáculo,Montrer,Menunjukkan,見せる,แสดง,Trình diễn,顯示,Göstermek
ShowAmount,Show Amount,Mostrar cantidad,Afficher le montant,Tampilkan Jumlah,金額を表示,แสดงจำนวนเงิน,Hiển thị số tiền,顯示總數,Tutarı Göster
ShowCompleteUrl,Display URL,Mostrar URL,URL d'affichage,Tampilan URL,URL表示,แสดง URL,Hiển thị URL,顯示URL,Görüntülenen URL
ShowLeave,Show Leave Person,Mostrar persona de salida,Afficher la personne en congé,Tunjukkan Orang yang Tinggalkan,休暇中の人を表示,แสดงคนลา,Hiển thị người nghỉ phép,顯示離開人員,İzin Kişisini Göster
ShowVerifyIndication,Show Result Prompt,Mostrar Mensaje de Resultado,Afficher l'invite des résultats,Tampilkan Hasil Cepat,結果プロンプトを表示,แสดงผลที่ตามมา,Hiển thị lời nhắc kết quả,顯示結果提示,Sonuç İstemini Göster
SmtpSettingTitle,SMTP Setting,Configuración SMTP,Paramètres SMTP,Pengaturan SMTP,SMTP設定,การตั้งค่า SMTP,Cài đặt SMTP,SMTP設定,SMTP Ayarı
SortByDepartment,Sort by department,Ordenar por departamento,Trier par département,Urutkan berdasarkan departemen,Sort by department,จัดเรียงตามแผนก,Sắp xếp theo bộ phận,依部門排序,Departmana göre sırala
SortByGroupName,Sort by group name,Ordenar por nombre de grupo,Trier par nom de groupe,Urutkan berdasarkan nama grup,グループ名で並べ替える,เรียงลำดับตามชื่อกลุ่ม,Sắp xếp theo tên nhóm,依群組排序,Grup adına göre sırala
SortByJobTitle,Sort by job title,Ordenar por título de trabajo,Trier par titre d'emploi,Urutkan berdasarkan Judul Pekerjaan,Sort by job title,เรียงลำดับตามชื่องาน,Sắp xếp theo tiêu đề công việc,依職稱排序,Meslek ünvanına göre sırala
SpecialCardHint,"Generally, when the identification is successful, we will provide the card number of the identified person. However, you can also choose to use a specific card number. To do so, specify the card number here, then go to the Access Rules page to complete the settings","En general, cuando la identificación sea exitosa, proporcionaremos el número de tarjeta de la persona identificada. Sin embargo, también puede elegir usar un número de tarjeta específico. Para hacerlo, especifique el número de tarjeta aquí, luego vaya a la página de reglas de acceso para completar la configuración","Généralement, lorsque l'identification est réussie, nous fournirons le numéro de carte de la personne identifiée. Cependant, vous pouvez également choisir d'utiliser un numéro de carte spécifique. Pour ce faire, spécifiez le numéro de carte ici, puis accédez à la page des règles d'accès pour compléter les paramètres","Umumnya, ketika identifikasi berhasil, kami akan memberikan nomor kartu orang yang diidentifikasi. Namun, Anda juga dapat memilih untuk menggunakan nomor kartu tertentu. Untuk melakukannya, tentukan nomor kartu di sini, lalu buka halaman Aturan Akses untuk menyelesaikan pengaturan",一般に、識別が成功した場合、識別された人のカード番号を提供します。ただし、特定のカード番号を使用することもできます。これを行うには、ここでカード番号を指定し、アクセスルールページに移動して設定を完了します,โดยทั่วไปเมื่อการระบุตัวตนสำเร็จเราจะให้หมายเลขบัตรของบุคคลที่ระบุ อย่างไรก็ตามคุณยังสามารถเลือกใช้หมายเลขบัตรเฉพาะ หากต้องการทำเช่นนั้นให้ระบุหมายเลขบัตรที่นี่จากนั้นไปที่หน้ากฎการเข้าถึงเพื่อทำการตั้งค่าให้เสร็จสมบูรณ์,"Thông thường, khi nhận dạng thành công, chúng tôi sẽ cung cấp số thẻ của người được nhận dạng. Tuy nhiên, bạn cũng có thể chọn sử dụng một số thẻ cụ thể. Để làm như vậy, hãy chỉ định số thẻ tại đây, sau đó truy cập trang Quy tắc truy cập để hoàn tất cài đặt",一般情況下，當識別成功時，我們會提供被識別者的卡號。不過，您也可以選擇使用指定的卡號。若要這樣做，請在這裡指定該卡號，然後前往存取規則頁面以完成相關設定。,"Genellikle, tanımlama başarılı olduğunda, tanımlanan kişinin kart numarasını sağlarız. Ancak, belirli bir kart numarası kullanmayı da seçebilirsiniz. Bunu yapmak için, kart numarasını buraya belirtin, ardından ayarları tamamlamak için Erişim Kuralları sayfasına gidin"
SpecialCardNumber,visitor card number,número de tarjeta de visitante,numéro de carte de visiteur,nomor kartu pengunjung,ビジターカード番号,หมายเลขบัตรผู้เยี่ยมชม,Số thẻ khách,訪客卡號,ziyaretçi kartı numarası
SpecifiedDatetimeRange,Specified Date Range,Rango de fecha especificado,Plage de dates spécifiée,Rentang Tanggal yang Ditentukan,指定された日付範囲,ช่วงวันที่ระบุ,Phạm vi ngày được chỉ định,指定日期範圍,Belirtilen Tarih Aralığı
SpoofingLevelExtremeHigh,Very high,Muy alto,Très élevé,Sangat tinggi,すごく高い,สูงมาก,Rất cao,極高,Çok yüksek
SpoofingLevelHigh,High,Alto,Elevé,Tinggi,高い,สูง,Cao,高,Yüksek
SpoofingLevelLow,Low,Bajo,Faible,Rendah,低い,ต่ำ,Thấp,低,Düşük
SpoofingLevelNone,Disabled,Desactivado,Désactivé,Dinonaktifkan,無効,พิการ,Tắt,關閉,Engelli
Staff,Staff,Personal,Personnel,Staf,職員,พนักงาน,Nhân viên,職員,Kadro
Standard,Standard,Estándar,Standard,Standar,標準,มาตรฐาน,Tiêu chuẩn,標準,Standart
StartSignal,Start Signal,Señal de inicio,Signal de démarrage,Mulai Sinyal,開始信号,เริ่มสัญญาณ,Bắt đầu tín hiệu,起始訊號,Başlangıç ​​Sinyali
StaticPicture,Picture,Imagen,Image,Gambar,画像,รูปภาพ,Hình ảnh,圖片,Resim
StaticSettings,Static Settings,Configuraciones estáticas,Paramètres statiques,Pengaturan Statis,静的設定,การตั้งค่าแบบคงที่,Cài đặt tĩnh,靜態設定,Statik Ayarlar
Stranger,Stranger,Extraño,Étranger,Orang Asing,未登録,คนแปลกหน้า,Người lạ,陌生人,Yabancı
StrangerID,Stranger Card Number,Número de tarjeta de extraña,Numéro de carte Stranger,Nomor Kartu Orang Asing,見知らぬ人のカード番号,หมายเลขบัตรแปลก ๆ,Số thẻ người lạ,陌生人卡號碼,Yabancı Kart Numarası
StrangerMaxItem,The number of strangers displayed,El número de extraños que se muestran,Le nombre d'étrangers affichés,Jumlah orang asing yang ditampilkan,The number of strangers displayed,จำนวนคนแปลกหน้าที่แสดง,Số lượng người lạ được hiển thị,陌生人顯示數量,Gösterilen yabancıların sayısı
Subtitle,Subtitle,Subtitular,Sous-titre,Subjudul,副題,คำบรรยาย,Phụ đề,副標題,Altyazı
SuccessRecords,Success Records,Registros de éxito,Records de réussite,Catatan Sukses,成功履歴,บันทึกความสำเร็จ,Bản ghi thành công,成功筆數,Başarı Kayıtları
Successful,Successful,Exitoso,Réussi,Sukses,成功,ประสบความสำเร็จ,Thành công,成功,Başarılı
SummaryBy,Grouping criteria,Criterios de agrupación,Critères de regroupement,Kriteria Grup,グループ化,เกณฑ์การจัดกลุ่ม,Tiêu chí phân nhóm,分組依據,Gruplama kriterleri
SummaryDisplay,Group display,Visualización grupal,Affichage de groupe,Tampilan grup,グループごとに表示,การแสดงกลุ่ม,Hiển thị nhóm,依群組顯示,Grup gösterimi
